name,code,latitude,longitude
Новодвинск,11415,64.413695,40.820749
Вилюйский район,98218,64.363213,122.154574
Среднекамский район,44210,64.350757,154.599288
Нюрбинский район,98226,64.207416,117.325878
Мирнинский район,98231,64.098142,110.761852
Пинежский район,11248,64.097815,44.368358
Томпонский район,98250,64.06566,136.727009
Вуктыльский район,87412,63.928838,58.834486
Холмогорский район,11256,63.837051,41.994578
Муравленко,71175,63.795285,74.494448
Муезёрский район,86227,63.788921,31.661131
Сосногорский район,87422,63.69962,54.950907
Оймяконский район,98239,63.695064,142.713633
Верхневилюйский район,98214,63.653626,120.395278
Сегежский район,86245,63.651637,34.510956
Онежский район,11246,63.629132,37.900218
Удорский район,87240,63.618502,48.536999
Белоярский район,71111,63.618103,68.24715
Ухта,87425,63.562626,53.684022
Березовский район,71112,63.534218,62.091229
Княжпогостский район,87208,63.331701,51.336778
Сусуманский район,44213,63.238274,146.486144
Ноябрьск,71178,63.201789,75.450965
Северо-Эвенский район,44207,63.147706,160.279075
Усть-Алданский район,98252,63.053591,131.299244
Медвежьегорский район,86224,62.873679,34.615942
Намский район,98235,62.867399,129.157705
Пенжинский район,30129,62.86609,165.841847
Виноградовский район,11214,62.778798,43.516665
ЗАТО Мирный,11525,62.764516,40.336054
Омсуканский район,44204,62.742226,156.089638
Плесецкий район,11250,62.739639,39.621265
Таттинскийрайон,98204,62.659842,133.26121
Ягоднинский район,44222,62.586059,150.274897
Верхнетоемский район,11208,62.480752,45.638504
Сунтарский район,98248,62.473065,116.774842
Троицко-Печорский район,87236,62.439552,57.491424
Кондопожский район,86215,62.40508,33.944011
Суоярвский район,86250,62.373284,32.114358
Октябрьский район,71121,62.297992,66.069553
Когалым,71183,62.264069,74.482761
Горный район,98220,62.254475,125.639552
Усть-Вымский район,87244,62.183742,49.788819
Нягань,71139,62.145759,65.433654
Радужный,71137,62.134265,77.458439
Шенкурский район,11258,62.123213,42.59176
Ленский район,11235,62.093989,48.668449
Пудожский район,86242,62.058444,36.655072
Якутск,98401,62.028103,129.732663
Чурапчинский район,98258,61.982792,132.063073
