id,date,total_death_missing,location,lat,lon,collapsed_region,region,collapsed_cause,cause_of_death
4185,5-May-2018,13,"Off the coast of Mutsamudu, Anjouan, Comoros - en route to Mayotte (France)",-12.12930514,44.38399051,Africa,Sub-Saharan Africa,Drowning,Drowning
4186,5-May-2018,2,"Zegoua, Mali",10.48649,-5.65283,Africa,Sub-Saharan Africa,Accident,Vehicle Accident
4187,6-May-2018,4,"Unspecified location off the coast of Tripoli, Libya",34.16932821,13.41106486,Mediterranean,Mediterranean,Drowning,Presumed drowning
4188,6-May-2018,2,"Qatrun, Libya",24.9266,14.58096,Africa,North Africa,Shooting,Shot or stabbed
4189,6-May-2018,1,"Pima County jurisdiction, Arizona, USA",31.9465285,-111.7435789,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
4190,6-May-2018,1,"Agadez, Niger",16.987148,7.960963,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
4191,6-May-2018,1,"Agadez, Niger",16.977625,7.997695,Africa,Sub-Saharan Africa,Sickness,Sickness and lack of access to medicines
4192,7-May-2018,1,"Train tracks near Colonia La Bomba, Minatitlán, Veracruz, Mexico",18.00023524,-94.55561892,Central America,Central America,Accident,"Hit by train, Train Accident"
4193,7-May-2018,1,"Pima County jurisdiction, Arizona, USA",31.7007344,-111.7033087,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4194,7-May-2018,1,"Agadez, Niger",16.975204,7.965108,Africa,Sub-Saharan Africa,Starvation / Dehydration,Dehydration
4195,7-May-2018,1,"Private ranch in Kenedy County, Texas, USA",26.98418383,-97.721268,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4196,8-May-2018,2,"Syria-Turkey border, Idlib Governorate, Syria",35.99632932,36.36677617,Middle East,Middle East,Shooting,Shot
4197,8-May-2018,2,"Kufra District, Libya",21.442843,23.625897,Africa,North Africa,Sickness,Sickness and lack of access to medicines
4198,8-May-2018,2,"Sahara desert, Libya",24.322071,12.962891,Africa,North Africa,Mixed,"Sickness and lack of access to medicines, Starvation, Dehydration"
4199,8-May-2018,1,"Pima County jurisdiction, Arizona, USA",32.3022842,-113.0083348,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4200,8-May-2018,1,"Sahara desert, Libya",23.961156,13.753383,Africa,North Africa,Sickness,"Sickness and lack of access to medicines, Dehydration"
4201,9-May-2018,2,"Sahara desert, Sudan, near the border with Egypt",21.943709,27.672666,Africa,North Africa,Mixed,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse"
4202,9-May-2018,1,"Durance river, Saint-Martin-de-Queyrières, near Briançon, Hautes-Alpes, France",44.83967035,6.580775143,Europe,Europe,Drowning,Drowning
4203,9-May-2018,1,"Pima County jurisdiction, Arizona, USA",31.9239682,-112.1502366,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4204,10-May-2018,2,"Sabha, Libya",27.073495,14.419244,Africa,North Africa,Shooting,Shot or stabbed
4205,10-May-2018,2,"Near Bossaso, Somalia",11.275784,49.121736,Africa,Horn of Africa,Harsh Conditions,Harsh weather/lack of adequate shelter
4206,10-May-2018,1,"Los Palos Ranch near Falfurrias, Brooks County, Texas",27.2251015,-98.3998009,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4207,10-May-2018,1,"Ranch near Armstrong, Kenedy County, Texas, USA",26.90287734,-97.84757452,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4208,10-May-2018,1,"Body recovered in a well in Beni Chiker, Nador, Morocco, near Melilla border fence",35.27422982,-2.984685136,Mediterranean,Mediterranean,Unknown / Other,Unknown
4209,11-May-2018,3,"Garin Kowa, Zinder, Niger",14.712754,8.815833,Africa,Sub-Saharan Africa,Starvation / Dehydration,"Starvation, Dehydration"
4210,11-May-2018,1,"Canal in Moody Ranch Head Gates, Brackettville, Kinney County, Texas, USA",29.1996732,-100.7497015,US-Mexico Border,US-Mexico Border,Drowning,Drowning
4211,11-May-2018,1,"Río Bravo, near Éjido El Refugio, Matamoros, Tamaulipas, Mexico",25.8439195,-97.37176233,US-Mexico Border,US-Mexico Border,Drowning,Drowning
4212,11-May-2018,1,"La Cantina Ranch, Brooks County, Texas, USA",27.2542405,-98.3654793,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
4213,11-May-2018,1,"Ranong province, Thailand",10.391039,98.776573,Asia,Southeast Asia,Mixed,"Sickness and lack of access to medicines, Dehydration, Excessive Physical Abuse"
4214,12-May-2018,1,"Off the coast of Al Khums, Libya",32.672917,14.27339206,Mediterranean,Mediterranean,Drowning,Presumed drowning
4215,12-May-2018,1,"Río Bravo, between Nuevo Laredo, Tamaulipas, Mexico, and Laredo, Webb County, Texas",27.48707358,-99.48017889,US-Mexico Border,US-Mexico Border,Drowning,Drowning
4216,12-May-2018,1,"Near Bossaso, Somalia",11.275784,49.121736,Africa,Horn of Africa,Shooting,Shot or stabbed
4217,13-May-2018,9,"Bodies washed up in Karpaz, northern Cyprus",35.47317736,34.29375677,Mediterranean,Mediterranean,Drowning,Drowning
4218,13-May-2018,2,"Garin Kowa, Zinder, Niger",14.709765,8.814117,Africa,Sub-Saharan Africa,Starvation / Dehydration,"Starvation, Harsh weather/lack of adequate shelter"
4219,13-May-2018,1,"Río Bravo, near La Galeana, Matamoros, Tamaulipas, Mexico",25.88731568,-97.51193807,US-Mexico Border,US-Mexico Border,Drowning,Drowning
