pub_ID,pub_name,pub_town
1039,The Swan,Flitwick
104,Marlborough Tavern,Bath
1044,Swan With Two Nicks,Sharnbrook
1045,The Anchor,Great Barford
1046,The Riverside Tavern (Barns Hotel),Bedford
1049,The Grafton Hotel,Bedford
1054,The White Hart Hotel,Ampthill
1055,The Three Cranes Inn,Turvey
1056,The Three Cups,Bedford
1058,The Three Tuns,Biddenham
1059,The Tiger Moth,Bedford
106,The Bath Brew House,Bath
1062,Waggon & Horses,Barton-Le-Clay
10633,The Catts Inn,Rotherfield
10634,The Coopers Arms,Crowborough
10635,The Crow & Gate,Crowborough
10636,The Crowborough Cross,Crowborough
10639,The Kings Arms,Rotherfield
10642,The White Hart On The Green,Crowborough
10643,Bricklayers Arms,Crowborough
1067,The White Hart,Maulden
107,The Mill,Rode
1070,The White Horse,Bedford
1072,The White Horse,Husborne Crawley
1076,The Woolpack,Wilstead
1077,The Plough,Bolnhurst
1078,Ye Three Fyshes,Turvey
1079,The Plough,Langford
10821,The Rose & Crown,Burwash
10823,The Bear Inn,Burwash
10824,The Wheel Inn,Burwash Weald
10829,The Brewers Arms,Herstmonceux
1083,The Cock Inn,Broom
10832,Inn on the Park,Golden Cross
10833,The George Hotel (JD Wetherspoon),Hailsham
10835,Grenadier,Hailsham
10836,Kings Head,Hailsham
10837,The Lamb Inn,Wartling
10838,Merrie Harriers,Cowbeech
10839,The Railway Tavern,Hailsham
1084,The Crown,Northill
10841,The White Horse Inn,Bodle Street Green
10842,The Anchor Inn,Hartfield
10843,The Gallipot Inn,Hartfield
10846,The Ashburnham Arms,Hastings
10849,Union Bar,Hastings
10850,The Carlisle,Hastings
10853,Cinque Port Arms,Hastings
10855,The Clarence Hotel,Hastings
10856,The Clown,Hastings
10858,The Crown,Hastings
10859,The Cutter,Hastings
1086,The Gardeners Arms,Biggleswade
10860,The Dolphin Inn,Hastings
10861,Dripping Well,Hastings
10862,The Duke of Wellington,Hastings
10865,First In Last Out,Hastings
10866,The Fountain,Hastings
1087,The Golden Pheasant,Biggleswade
10870,Hastings Arms,Hastings
10873,Imperial,Hastings
10879,London Trader,Hastings
1088,The Hare & Hounds,Old Warden
10883,Millers Arms,Hastings
10884,Mount Pleasant,Hastings
